date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,date_received_raw,date_sent_to_company_raw,year_received,month_received,quarter_received,timely_response_binary,has_narrative,narrative_length,received_to_sent_lag_days
2022-09-28 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Chime denied my disputes against XXXX who sold me defective merchandise and refuses to return it, under Claim ID : XXXX ( {$780.00} ) and two out of the three disputes under Claim ID : XXXX ( {$270.00}, {$31.00} ). I provided Chime with proof via photos and video of how said goods were defective and not as described. Although theres no reason they could possibly provide that would justify them denying my claim, Chime did not even provide a reason whatsoever for their denial.",,Chime Financial Inc,NJ,082XX,,Web,2022-09-28 00:00:00+00:00,Closed with explanation,Yes,6028227,2022-09-28,2022-09-28,2022,2022-09,2022Q3,1,1,479,0.0
2023-09-01 00:00:00+00:00,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,,,CAPITAL ONE FINANCIAL CORPORATION,WA,98027,,Web,2023-09-01 00:00:00+00:00,Closed with explanation,Yes,7482245,2023-09-01,2023-09-01,2023,2023-09,2023Q3,1,0,0,0.0
2025-01-16 00:00:00+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"I am writing to formally express my concerns regarding Zelle 's handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPB 's findings indicate that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams. This lack of accountability and transparency is unacceptable and raises serious concerns about consumer safety.",,"Early Warning Services, LLC",NY,11426,,Web,2025-01-16 00:00:00+00:00,Closed with explanation,Yes,11532732,2025-01-16,2025-01-16,2025,2025-01,2025Q1,1,1,733,0.0
2022-07-28 00:00:00+00:00,Vehicle loan or lease,Lease,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,"I HAVE A XXXX XXXX XXXX THRU KIA FINANCE AND I WANT TO KEEP IT. I CALLED AND TOLD THEM I WANTED TO PURCHASE THE CAR, THEY TOLD ME TO FILL OUT THE ODOMETER READING FORM, WHICH I DID. THEN ON XX/XX/XXXX I CALLED FOR THE PAY OFF AMOUNT AND THE GENTLEMEN TOLD ME WHAT IT WAS AND CHECKED TO SEE IF THE ODOMETER READING FORM WAS SUBMITTED. MY PAYMENTS WERE DUE ON THE XXXX AND THE MORNING OF THE XXXX I PAID OVER XXXX TO SETTLE THE LEASE PER THE PAY OFF QUOTE THE EVENING BEFORE. AFTER SEVERAL WEEKS I CALLED TO ASK ABOUT MY TITLE IF IT WAS MAILED OR GOING TO BE MAILED. I WAS TOLD MY PAYMENT WAS IN "" SUSPENSION '' AND I NOTICED THAT ALTHOUGH I GOT AN EMAIL STATING THEY GOT THE XXXX, IT WAS NOT POSTED TO MY ACCOUNT TO CLOSE THE ACCOUNT. THEY HAD TO PUT A WORK ORDER IN TO ESCALATE IT TO THE DEPARTMENT TO CLOSE MY ACCOUNT AND TOLD ME ONCE THEY CREDITED MY ACCOUNT THAT THE TITLE WOULD GO OUT IN 7-10 DAYS. THAT WAS XXXX WEEKS AGO. I TALKED TO A MANAGER SHE LOOKED AT MY ACCOUNT AND SAID IT SHOULD ONLY BE 2-3 DAYS AND I COULD EXPEDITE IT IF I WANTED TO FEDEX IT. WHY SHOULD I PAY FOR YOUR ERROR JUST GET IT DONE PLEASE. SO A WEEK WENT WHEN BY I CALLED AGAIN ONLY TO BE TOLD HE DID NOT SEE A WORK ORDER ESCALATED AND HE WOULD HAVE TO DO ONE. HE APOLOGIZED AND I AM LIVID. I GAVE THEM XXXX AND I HAVE NO TITLE. I ASKED TO SPEAK TO A MANAGER AND SHE SAID "" THE ONLY '' THING SHE COULD DO WAS SEND AN EMAIL TO THE DEPARTMENT TO CREDIT MY ACCOUNT. AGAIN NOTHING!! I CALLED MONDAY, XX/XX/XXXX TO BE TOLD THE REASON I DON'T HAVE MY TITLE IS BECAUSE MY ACCOUNT IS STILL OPENED BECAUSE I OWE PRINCIPLE OF {$130.00} ..WHATTT!!!! BECAUSE YOU PUT MY MONEY IN A SUSPENSION FILE AND IT SAT THERE MY ACCOUNT WAS PASSED DUE, PER THE ONLINE PAYMENT HISTORY AND I MAY NEED TO PAY THE PRINCIPLE IN ORDER TO CLOSE OUT THE ACCOUNT, IT IS XXXX 'S ERROR NOT MINE. JUST RECENTLY I SEE MY XXXX POSTED ON LINE AS OF XX/XX/XXXX, JUST LIKE I SAID I PAID IT. ONCE AGAIN, I WAS TOLD THEY WOULD NOTE ALL OF THIS AND SEND IT TO THE DEPARTMENT THAT CLOSES THE ACCOUNT I TOLD HIM TO ADD TO IT THAT I GOT AN EMAIL STATING THEY GOT MY MONEY XX/XX/XXXX AND MY PAYMENT HISTORY SHOWS THE MONEY WAS POSTED ON XX/XX/XXXX AND MY AMOUNT DUE IS XXXX ( XXXX ) AND NOT {$130.00}. HE TOLD ME TO CHECK BACK IN XXXX HOURS AND EITHER THEY WILL CLOSE MY ACCOUNT AND SEND OUT MY TITLE OR THE WORST SCENARIO I WILL NEED TO PAY THE PRINCIPLE DOLLARS FOR THE ACCOUNT TO CLOSE. 
I DID WAS I WAS SUPPOSE TO, WHEN I WAS SUPPOSED TO AND KIA FINANCE OF AMERICA IS HOLDING MY TITLE XXXX. 
PLEASE HELP A CONSUMER WHO PAID HER LEASE EVERY MONTH ON TIME AND JUST ASKING WHAT IT LEGALLY AND RIGHTFULLY MINE, MY TITLE, SO I CAN SHOW OWNERSHIP OF MY CAR, ONCE AND FOR ALL!!! 

XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,HYUNDAI CAPITAL AMERICA,MO,63141,Older American,Web,2022-07-28 00:00:00+00:00,Closed with explanation,Yes,5816264,2022-07-28,2022-07-28,2022,2022-07,2022Q3,1,1,2716,0.0
2022-08-27 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"There was a change I did not make, and contacted American Express numerous times and never resolved.",,AMERICAN EXPRESS COMPANY,CO,80129,,Web,2022-08-27 00:00:00+00:00,Closed with explanation,Yes,5924416,2022-08-27,2022-08-27,2022,2022-08,2022Q3,1,1,100,0.0
2018-07-30 00:00:00+00:00,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33714,,Referral,2018-08-02 00:00:00+00:00,Closed with monetary relief,Yes,2977991,2018-07-30,2018-08-02,2018,2018-07,2018Q3,1,0,0,3.0
2020-06-23 00:00:00+00:00,Credit card or prepaid card,Store credit card,Closing your account,Can't close your account,"Dear Sirs, I have moved abroad, to XXXX, and the over-the-phone agent can not assist me on my my Macy 's Amex credit card account affairs, since the agent asks me for cell phone or mail contact, both of which are no longer available.

At this point, the agent has informed me that she can not process the following requests : 1 ) An investigation into a transaction of {$18.00} on XX/XX/XXXX, which I was contacted about via email ( I didn't do the transaction ), and that I rejected ( I clicked "" I do not recognize one or more of the above. '' on the email link. See email attached ) Despite the information "" Charge Status : Declined '' on the email, apparently the charge was still processed, or additional transactions were attempted that currently amount to a {$39.00} balance. 

2 ) Once the issue above is resolved, I would like to cancel the credit card immediately. 

Thank you.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,XXXXX,,Web,2020-06-23 00:00:00+00:00,Closed with monetary relief,Yes,3711735,2020-06-23,2020-06-23,2020,2020-06,2020Q2,1,1,888,0.0
2024-04-12 00:00:00+00:00,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,,,"EQUIFAX, INC.",TX,76036,,Web,2024-04-12 00:00:00+00:00,Closed with non-monetary relief,Yes,8761082,2024-04-12,2024-04-12,2024,2024-04,2024Q2,1,0,0,0.0
2023-01-30 00:00:00+00:00,Credit card or prepaid card,Store credit card,Problem when making payments,Problem during payment process,"My account balance on XX/XX/2023 was {$670.00}. Banana Republic took out {$1800.00} on XX/XX/2023 because my statement balance on XX/XX/2023 was {$1800.00}. They took out {$1100.00} more than my account balance. This has created a financial burden. I requested they fix it and they told me it would take 10 business days to mail me a check even though I didnt pay via check nor did they have the right to take the extra money. I didnt owe it.. I asked that they reverse the payment they had processed in error or overnight my check and they said they would not. This is criminal. They should never take more money that what is owed to them. I will eventually get my money back but this practice of how they are processing payments should be examined and I would expect them to correct it and at the very least expedite an error when its this large of an impact. 

Thank you",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,NC,28173,,Web,2023-01-30 00:00:00+00:00,Closed with explanation,Yes,6505832,2023-01-30,2023-01-30,2023,2023-01,2023Q1,1,1,873,0.0
2023-09-16 00:00:00+00:00,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,Synovus Bank,NC,27377,,Web,2023-09-16 00:00:00+00:00,Closed with explanation,Yes,7554305,2023-09-16,2023-09-16,2023,2023-09,2023Q3,1,0,0,0.0
2025-10-31 00:00:00+00:00,Mortgage,FHA mortgage,Incorrect information on your report,Account information incorrect,"I am filing this complaint because Freedom Mortgage is reporting a 30-day late payment on my mortgage account after the account was paid in full and closed during the sale of my home. 

Account Number : XXXX Balance : {$0.00} ( loan paid off in full ) Account Status : Closed / Paid I disputed this late payment in writing on XX/XX/year>, and I sent a Second Request/ Final Notice on XX/XX/year>. Proof of mailing is attached. 


Proof XXXX Freedom Mortgage did not provide any documentation to verify the late payment. 

Instead, they updated the account remarks to : Dispute Resolved Subscriber Disagrees Consumer Disputes After Resolution However, the actual dispute investigation was never completed, and no verification records were provided, which is required under : FCRA 611 ( a ) ( 1 ) ( reasonable reinvestigation ) FCRA 623 ( b ) ( duty to correct after dispute ) FCRA 607 ( b ) ( maximum possible accuracy ) The late payment continues to negatively affect my credit profile despite the loan being paid in full. If the creditor can not verify the late payment, it must be removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,TX,776XX,,Web,2025-10-31 00:00:00+00:00,Closed with explanation,Yes,16947074,2025-10-31,2025-10-31,2025,2025-10,2025Q4,1,1,1091,0.0
2021-01-22 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I ordered a pair of shoes on XXXXXXXX back in XX/XX/XXXX for XXXX. Was sent a pair of shoes on XX/XX/XXXX that were supposed to be shipped to someone in Texas instead, when I live in New York. I called customer service to send a replacement for my order and the correct shoe shipped in on XX/XX/XXXX. I returned the shoe through mail on XX/XX/XXXX that cost XXXX  since it did not fit, but never received the refund. Contacted Bloomingdale 's customer service through email and phone multiple times with responses on their end saying they received the product back, but no one was able to credit the money back onto my credit card. Disputed the charge with Citibank for the amount of XXXX  on XX/XX/XXXX since Bloomingdale 's was not crediting me back. Citibank contacted the merchant XX/XX/XXXX and Macy 's responded to the dispute on XX/XX/XXXX saying "" We are providing an online order and pod. The customer reported the original delivery as not received. A reshipment was processed. The reshipped merchandise was delivered on XX/XX/XXXX at XXXX by XXXX  and received by XX. The customer received the merchandise as an even exchange and was only charged once. No credit is due. '' I returned the item through mail back on XX/XX/XXXX with a traceable tracking number back to Bloomingdale 's saying it arrived at their facility XX/XX/XXXX, but they are not addressing the fact they received the item back. On XX/XX/XXXX Citibank concluded that I am responsible. I emailed documents on XX/XX/XXXX and XX/XX/XXXX to Citibank 's dispute email address including information from Bloomingdale 's website and emails where I contacted Bloomingdale 's customer service stating they received the item. After submitting the document, Citibank reopened the case on XX/XX/XXXX. On XX/XX/XXXX, Citibank sent a letter to me stating "" We previously requested necessary information from you concerning this dispute. We did not receive a valid proof of returned confirmation email from the merchant. As a result, we have completed our investigation based on the information available. Please contact the merchant directly if you wish to pursue this matter further. We now consider this investigation complete. '' Citibank is unwilling to handle this case and told me to contact the merchant instead again. The merchant is not providing proof of my return because they are stealing money from me and Citibank is siding with the merchant to commit fraud together. I tried contacting Citibank 's dispute center through phone calls, but my call was cut off every single time. An agent says they will transfer my call, then the call ends immediately afterwards. Citibank does not want people sending photographs or smartphone pictures as proof, but yet they are pushing everything to become accessible through their mobile app. They are using every method possible to push the blame to the customer instead.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,110XX,,Web,2021-01-22 00:00:00+00:00,Closed with explanation,Yes,4086760,2021-01-22,2021-01-22,2021,2021-01,2021Q1,1,1,2886,0.0
2024-10-02 00:00:00+00:00,Mortgage,USDA mortgage,Trouble during payment process,Payment process,"I bought my home in XXXX of XXXX with the help of a XXXX  loan. 

Mr. Cooper is my current mortgage servicer and in XXXX due to XXXX and a reduction of hours at my job at the time, I started to fall behind on my payments and enrolled in the deferment payment plan. 

Mr. Cooper continued to pay my taxes and insurance during this time, so the escrow I owed increased.

I did a Home Equity investment with XXXX XXXX in XXXX of XXXX. 

Part of the loan agreement with XXXX was that Mr. Cooper stipulated that {$17000.00} of any monies received by me MUST be paid to Mr. Cooper and applied to bring deferred escrow up to date. 

When Mr. Cooper received the money from XXXX that was to pay the back escrow, Mr. Cooper put it on the principle instead, by doing this, I still owed the back escrow and my payments increased. 

I have been trying to get this rectified for almost XXXX  years now. Many, many phone calls to Mr. Cooper and many staff in many departments assured me it would get resolved has resulted in nothing but frustration. Each time I called, which was approximately once every other month, I was told by the person on the phone that it was definitely an error on Mr. Cooper and the issue was being referred to another department or a XXXX and it would be corrected and I would be contacted. 

It has not been corrected and I have never been contacted regarding this matter by email, phone or mail. 

Because Mr. Cooper wrongly put the money to the principle instead of the escrow, my payment has remained increased by almost {$500.00} a month, which is a hardship for me to pay. 

I ask for your help in getting this resolved so that my monthly payment can be lowered back to the correct amount and the money is moved to bring the escrow up to date. 

I also ask for any punitive monies levied against Mr. Cooper to be applied to my mortgage balance and to be notified of any actions taken against Mr. Cooper on my behalf in regard to this matter.",,Mr. Cooper Group Inc.,NJ,07860,,Web,2024-10-02 00:00:00+00:00,Closed with explanation,Yes,10304333,2024-10-02,2024-10-02,2024,2024-10,2024Q4,1,1,1961,0.0
2023-10-28 00:00:00+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"On XX/XX/2023 at XXXX there was {$50.00} removed from my without my authorization. 

On XX/XX/2023 at XXXX XXXX. there was {$4000.00} removed from my account without my authorization. 

I had been hospitalized in XX/XX/2023 for XXXX and was in recovery most of the summer. 

Because of my poor health and age ( I will be XXXX in a month XXXX ) I did not notice this cash was missing until around XX/XX/2023. 

I was saving the money to pay hospital bills. 
They failed to notify me when "" {$4000.00} of my money was removed at XXXXXXXX XXXX on XXXX XXXX XXXX XXXX 

Cash App advertises the following but they do not do anything. 
. 
Does Cash App refund you if scammed? 
If a potentially fraudulent payment occurs, we cancel it to prevent you from being charged. When this happens, your funds will instantly be returned to your Cash App balance or linked bank account. If not, they should be available within 13 business days, depending on your bank. 

They denied my claim. If removing {$4000.00} of my money at XXXX XXXX on a Saturday night isn't a "" potentially fraudulent payment '' I don't know what is. 

I have contacted them but all they say is to keep submitting claims and then they deny them. 

I also know after talking to financial advisers that people can actually take money out of your bank account. 

Most of the employees you talk to at Cash App are in foreign countries and do not speak English very well and don't even understand half the time what you are requesting. 

I would advise everybody to remove the cash app from their phones and computers, because after your money is stolen they don't try and help.",,"Block, Inc.",WV,25701,Older American,Web,2023-10-28 00:00:00+00:00,Closed with explanation,Yes,7771329,2023-10-28,2023-10-28,2023,2023-10,2023Q4,1,1,1631,0.0
2024-05-29 00:00:00+00:00,Credit card,General-purpose credit card or charge card,Incorrect information on your report,Account status incorrect,"Given my consistent track record of meeting payment deadlines for this account without any delays, it's unjustifiable for me to face such issues. I kindly request the prompt updating of my account to accurately reflect this history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,761XX,,Web,2024-05-29 00:00:00+00:00,Closed with non-monetary relief,Yes,9129738,2024-05-29,2024-05-29,2024,2024-05,2024Q2,1,1,232,0.0
2023-08-08 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Incorrect information on your report,Information belongs to someone else,"On XXXX XXXX I was served a garnishment from an officer at my job ( XXXX tn ) from XXXX XXXX. On the garnishment it list Midland Funding LLc. 

I revived letters from XXXX XXXX XXXX law office regarding a XXXX  XXXX credit card in my name. 
I dont own this card and have a letter ( proof of fraud ) from XXXX  XXXX. 

I have already followed instructions of XXXX XXXX XXXX and faxed in the letter but on XX/XX/2023 XXXX XXXX XXXX sent a letter with FTC info because they want an affidavit of fraud. 

Please help",,ENCORE CAPITAL GROUP INC.,TN,37167,,Web,2023-08-08 00:00:00+00:00,Closed with monetary relief,Yes,7371207,2023-08-08,2023-08-08,2023,2023-08,2023Q3,1,1,512,0.0
2024-08-30 00:00:00+00:00,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,"On XX/XX/year>, Husband XXXX XXXX and XXXX XXXX XXXX deposited two checks totalling {$3800.00} in his wife 's, XXXX XXXX XXXX  name to into their Chase account at a local Chase branch at XXXXXXXX XXXX XXXX XXXX  TX. These XXXX checks, individually valued at {$2500.00} and {$1300.00} were subsequently placed on deposit hold two weeks later on XX/XX/year>, with no notice or instructions on how to remove the deposit hold. When the husband and wife tried to access these funds after multiple visits to the branch they had deposited the check with and calls to the Chase Deposit review team, they were told that conflicting things from Chase on where the funds had went. They were told that the funds were sent back to their original issuer, when they were still in Chase 's possession with no way to access the funds. They provided the Chase branch with their government-issued IDs, proof of pay-stubs, proof of joint account ownership at another financial institution as requested by the Chase Deposit Review team , but were later told that this would not suffice as sufficient evidence, with no viable recourse on how to retrieve the funds aside from providing a verified phone number of XXXX XXXX, which once XXXX XXXX and XXXX XXXX provided, was unable to be verified by multiple Deposit Review team members .",,JPMORGAN CHASE & CO.,TX,77379,,Web,2024-08-30 00:00:00+00:00,Closed with explanation,Yes,9970261,2024-08-30,2024-08-30,2024,2024-08,2024Q3,1,1,1313,0.0
2025-09-11 00:00:00+00:00,Prepaid card,Government benefit card,Problem getting a card or closing an account,"Trouble getting, activating, or registering a card","This message serves as a formal response to your recent XXXX determination regarding my request for additional compensation related to the Bank of America prepaid debit card account freeze. 
While I acknowledge your position that the documentation provided did not meet your threshold for direct harm during the specified freeze period, I must respectfully challenge the scope and logic of that conclusion. 
Harm Is Not Isolated to the Freeze It Is Ongoing The assumption that financial harm must be confined to the exact window of fund unavailability ignores the domino effects that followed effects that are measurable, material, and catastrophic : Borrowing funds to survive during the freeze created new debt obligations Missed payments and cascading fees led to credit damage and long-term financial instability Lost job opportunities due to inability to travel, communicate, or meet obligations during the freeze resulted in lost income and career setbacks Families were impacted not just in the moment, but in the months and years that followed To regulate harm as if it only exists during the freeze is to ignore the real-world consequences of financial disruption. The loss did not end when the freeze lifted it began there and continued forward. 
CFPB Escalation I will be forwarding this matter to the Consumer Financial Protection Bureau ( CFPB ) with a formal complaint stating : That the XXXX review process fails to account for post-freeze harm That the burden of proof is placed unfairly on individuals who were already financially destabilized That the review framework is administratively narrow and does not reflect the lived impact of systemic financial interruption I will also request that the CFPB investigate whether the XXXX  harm criteria violate principles of fair compensation and whether the process constitutes regulatory neglect of downstream harm.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,07103,,Web,2025-09-11 00:00:00+00:00,Closed with explanation,Yes,15876325,2025-09-11,2025-09-11,2025,2025-09,2025Q3,1,1,1879,0.0
2023-05-03 00:00:00+00:00,Credit card or prepaid card,Store credit card,Fees or interest,Problem with fees,,,CAPITAL ONE FINANCIAL CORPORATION,CO,80537,,Web,2023-06-08 00:00:00+00:00,Closed with explanation,Yes,6919828,2023-05-03,2023-06-08,2023,2023-05,2023Q2,1,0,0,36.0
